NumOrden,Obser,Hor_Ini,Hor_Fin
RF-002423989,"No fue posible realizar la navegacion de RF-002423989. Se requiere una segunda subida o revision manual.",20:57:08,20:57:19
RF-002446452,"No fue posible realizar la navegacion de RF-002446452. Se requiere una segunda subida o revision manual.",21:00:50,21:01:05
RF-002419298,"No fue posible realizar la navegacion de RF-002419298. Se requiere una segunda subida o revision manual.",21:13:20,21:13:34
RF-002449880,"No fue posible realizar la navegacion de RF-002449880. Se requiere una segunda subida o revision manual.",21:17:33,21:17:47
RF-002429239,"No fue posible realizar la navegacion de RF-002429239. Se requiere una segunda subida o revision manual.",21:17:48,21:18:04
RF-002423597,"No fue posible realizar la navegacion de RF-002423597. Se requiere una segunda subida o revision manual.",21:18:04,21:18:19
RF-002423995,"No fue posible realizar la navegacion de RF-002423995. Se requiere una segunda subida o revision manual.",21:18:34,21:18:48
RF-002430236,"No fue posible realizar la navegacion de RF-002430236. Se requiere una segunda subida o revision manual.",21:18:48,21:19:26
RF-002427479,"No fue posible realizar la navegacion de RF-002427479. Se requiere una segunda subida o revision manual.",21:22:50,21:23:07
RF-002437609,"No fue posible realizar la navegacion de RF-002437609. Se requiere una segunda subida o revision manual.",21:23:37,21:23:52
RF-002425766,"No fue posible realizar la navegacion de RF-002425766. Se requiere una segunda subida o revision manual.",21:24:30,21:24:44
RF-002422804,"No fue posible realizar la navegacion de RF-002422804. Se requiere una segunda subida o revision manual.",21:33:14,21:33:29
RF-002433772,"No fue posible realizar la navegacion de RF-002433772. Se requiere una segunda subida o revision manual.",21:57:38,21:57:51
RF-002444567,"No fue posible realizar la navegacion de RF-002444567. Se requiere una segunda subida o revision manual.",22:05:27,22:05:41
RF-002439144,"No fue posible realizar la navegacion de RF-002439144. Se requiere una segunda subida o revision manual.",22:06:52,22:07:07
